name,종별코드명,doctors,lon,lat
가나신경외과의원,의원,1,126.9209154,35.1573551
가나안요양병원,요양병원,5,129.1124247,35.1561769
가나의원,의원,1,129.3276514,35.5548512
가나이비인후과의원,의원,1,127.0120781,37.5021689
가나정성한성형외과의원,의원,1,127.4466117,37.2803727
가나정형외과의원,의원,1,129.4294532,35.5054121
가나정형외과의원,의원,1,128.460505,35.6932523
가남의원,의원,1,129.0111218,35.1970301
가남현대의원,의원,1,127.5437799,37.2053239
가넷성형외과의원,의원,1,127.0293712,37.5239346
가능성모의원,의원,1,127.0288772,37.7428575
가능제일마취통증의학과의원,의원,1,127.0417655,37.7505601
가덕면 보건지소,보건지소,1,127.5483906,36.5534159
가든내과의원,의원,1,126.9476643,37.5403379
가든비뇨기과의원,의원,1,126.9476643,37.5403379
가든안과의원,의원,1,126.9476643,37.5403379
가든이비인후과의원,의원,1,126.9476643,37.5403379
가라사대의원한의원,의원,1,127.3126642,36.3918614
가락마취통증의학과의원,의원,1,127.1164484,37.4915772
가락성모의원,의원,1,127.1173044,37.4948061
가락한솔의원,의원,1,127.1110027,37.4961026
가람내과의원,의원,1,127.1489063,37.559109
가람내과의원,의원,1,127.0725159,36.7736267
가람병원,병원,2,,
가람의원,의원,1,129.0371694,35.3418677
가람의원,의원,1,126.9921815,35.0606496
가람이비인후과의원,의원,1,127.2054909,37.5389381
가람정신건강의학과의원,의원,3,126.9014464,37.4821267
가로수정신건강의학과의원,의원,1,126.7246687,37.4014468
가미성형외과의원,의원,1,127.0285428,37.498646
가미의원,의원,1,127.113839,37.5090555
가본이비인후과의원,의원,1,128.9726635,35.1283327
가사도보건진료소,보건진료소,0,126.0510802,34.478546
가산곧바로의원,의원,1,126.8806788,37.4807624
